!    1          2            3           4          5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           64           65           66           67           68           69           70           71           72           73           74           75           76
! TEM(K)  log(PRE(N/m**2))  R/Rstar   log(d(cm-3))  H2           CO           C2H2         HCN          N2           CS           SiO          SiS          NaCl         KCl          AlCl         AlF          NaCN         HCP          C2           C3           C4           O2           OH           CO2          H2CO         HO2          H2O          H2O2         CH           CH2          CH3          CH4          C3H2         C4H2         C2H4         C2H          C3H          C4H          C2H3         C2H5         C2H6         NH           NH2          NH3          NO           CN           NCO          HCO          HCCO         CH2OH        CH3O         CH3OH        SH           H2S          SO           SO2          HCS          CS2          OCS          S2           NS           SiH          SiH2         SiH3         SiH4         SiO2         Si2          SiC          SiC2         SiCH         SiCH2        SiN          SiNH         Si2C         HNC          HF          
  2330.000 -7.59696E-02      1.00000   13.417      -1.3054      -3.3100      -5.5986      -5.1986      -4.5547      -4.9902      -9.9693      -7.5413      -14.607      -17.138      -11.790      -10.905      -13.103      -8.2936      -5.2701      -5.6130      -11.557      -23.893      -12.653      -15.930      -16.043      -29.795      -13.172      -32.940      -6.5572      -8.2169      -9.7206      -12.308      -13.353      -9.8992      -14.605      -5.4713      -9.3340      -10.382      -12.418      -21.457      -24.763      -9.8905      -12.414      -14.188      -15.586      -5.2968      -17.553      -12.172      -15.136      -23.530      -24.781      -26.604      -7.9718      -10.772      -16.818      -28.522      -10.788      -13.133      -14.206      -12.777      -12.878      -8.1201      -11.212      -16.918      -20.431      -24.098      -13.037      -9.1723      -8.0187      -10.774      -12.869      -10.239      -12.121      -13.157      -6.5028      -7.4497    
  2329.000 -8.66557E-02      1.00078   13.406      -1.3108      -3.3100      -5.6119      -5.2049      -4.5538      -4.9908      -9.9732      -7.5440      -14.618      -17.149      -11.796      -10.905      -13.115      -8.3028      -5.2727      -5.6183      -11.568      -23.901      -12.660      -15.937      -16.059      -29.811      -13.184      -32.962      -6.5629      -8.2287      -9.7382      -12.332      -13.373      -9.9202      -14.632      -5.4796      -9.3460      -10.399      -12.440      -21.494      -24.806      -9.8962      -12.426      -14.206      -15.590      -5.2979      -17.561      -12.182      -15.150      -23.556      -24.807      -26.636      -7.9765      -10.783      -16.823      -28.533      -10.797      -13.139      -14.212      -12.779      -12.881      -8.1274      -11.227      -16.940      -20.459      -24.109      -13.045      -9.1777      -8.0262      -10.786      -12.887      -10.243      -12.131      -13.168      -6.5098      -7.4498    
  2328.000 -9.73427E-02      1.00156   13.396      -1.3161      -3.3100      -5.6252      -5.2113      -4.5530      -4.9914      -9.9771      -7.5467      -14.629      -17.161      -11.802      -10.905      -13.127      -8.3119      -5.2753      -5.6237      -11.578      -23.908      -12.667      -15.943      -16.075      -29.827      -13.197      -32.985      -6.5686      -8.2406      -9.7559      -12.356      -13.393      -9.9412      -14.660      -5.4878      -9.3580      -10.415      -12.462      -21.530      -24.849      -9.9019      -12.438      -14.224      -15.594      -5.2990      -17.569      -12.191      -15.164      -23.581      -24.832      -26.667      -7.9812      -10.795      -16.827      -28.544      -10.805      -13.144      -14.218      -12.782      -12.884      -8.1348      -11.241      -16.962      -20.488      -24.120      -13.052      -9.1831      -8.0337      -10.797      -12.905      -10.248      -12.142      -13.178      -6.5169      -7.4499    
  2327.000  -.10803          1.00235   13.385      -1.3215      -3.3100      -5.6385      -5.2176      -4.5522      -4.9920      -9.9810      -7.5494      -14.640      -17.173      -11.808      -10.906      -13.139      -8.3211      -5.2780      -5.6291      -11.589      -23.916      -12.674      -15.950      -16.092      -29.843      -13.209      -33.007      -6.5743      -8.2525      -9.7736      -12.379      -13.413      -9.9622      -14.688      -5.4962      -9.3701      -10.431      -12.484      -21.566      -24.891      -9.9076      -12.451      -14.242      -15.598      -5.3002      -17.577      -12.201      -15.177      -23.606      -24.858      -26.699      -7.9858      -10.806      -16.832      -28.554      -10.814      -13.149      -14.224      -12.784      -12.887      -8.1422      -11.255      -16.984      -20.517      -24.131      -13.060      -9.1886      -8.0412      -10.809      -12.923      -10.252      -12.152      -13.189      -6.5241      -7.4500    
  2326.000  -.11872          1.00313   13.375      -1.3269      -3.3100      -5.6519      -5.2241      -4.5513      -4.9926      -9.9848      -7.5520      -14.651      -17.185      -11.814      -10.906      -13.152      -8.3303      -5.2807      -5.6345      -11.599      -23.924      -12.681      -15.957      -16.108      -29.859      -13.221      -33.030      -6.5801      -8.2644      -9.7914      -12.403      -13.434      -9.9833      -14.715      -5.5045      -9.3823      -10.447      -12.506      -21.603      -24.934      -9.9134      -12.463      -14.260      -15.603      -5.3013      -17.585      -12.211      -15.191      -23.632      -24.884      -26.731      -7.9905      -10.817      -16.836      -28.565      -10.823      -13.154      -14.229      -12.786      -12.890      -8.1496      -11.270      -17.006      -20.545      -24.143      -13.068      -9.1940      -8.0488      -10.821      -12.940      -10.256      -12.162      -13.200      -6.5312      -7.4501    
  2325.000  -.12941          1.00391   13.364      -1.3324      -3.3100      -5.6653      -5.2305      -4.5505      -4.9932      -9.9887      -7.5546      -14.662      -17.196      -11.820      -10.906      -13.164      -8.3395      -5.2834      -5.6400      -11.610      -23.931      -12.687      -15.963      -16.124      -29.874      -13.233      -33.052      -6.5859      -8.2763      -9.8091      -12.427      -13.454      -10.004      -14.743      -5.5129      -9.3945      -10.464      -12.528      -21.639      -24.977      -9.9191      -12.475      -14.278      -15.607      -5.3025      -17.592      -12.220      -15.205      -23.657      -24.909      -26.762      -7.9952      -10.828      -16.841      -28.576      -10.832      -13.159      -14.235      -12.789      -12.893      -8.1570      -11.284      -17.028      -20.574      -24.154      -13.076      -9.1995      -8.0564      -10.832      -12.958      -10.261      -12.173      -13.210      -6.5384      -7.4502    
  2324.000  -.14010          1.00470   13.354      -1.3378      -3.3100      -5.6787      -5.2369      -4.5497      -4.9939      -9.9925      -7.5573      -14.673      -17.208      -11.826      -10.906      -13.176      -8.3487      -5.2861      -5.6455      -11.621      -23.939      -12.694      -15.970      -16.140      -29.890      -13.245      -33.075      -6.5917      -8.2883      -9.8269      -12.451      -13.474      -10.026      -14.771      -5.5213      -9.4067      -10.480      -12.550      -21.676      -25.019      -9.9248      -12.487      -14.296      -15.611      -5.3037      -17.600      -12.230      -15.219      -23.683      -24.935      -26.794      -7.9998      -10.840      -16.845      -28.587      -10.841      -13.164      -14.241      -12.791      -12.896      -8.1644      -11.299      -17.050      -20.603      -24.165      -13.084      -9.2049      -8.0640      -10.844      -12.976      -10.265      -12.183      -13.221      -6.5455      -7.4503    
  2323.000  -.15079          1.00549   13.343      -1.3432      -3.3100      -5.6922      -5.2434      -4.5489      -4.9945      -9.9963      -7.5599      -14.683      -17.220      -11.832      -10.907      -13.188      -8.3579      -5.2889      -5.6510      -11.631      -23.946      -12.701      -15.976      -16.157      -29.906      -13.258      -33.097      -6.5975      -8.3002      -9.8447      -12.475      -13.494      -10.047      -14.799      -5.5297      -9.4189      -10.497      -12.572      -21.713      -25.062      -9.9306      -12.500      -14.314      -15.615      -5.3049      -17.608      -12.240      -15.233      -23.708      -24.961      -26.826      -8.0045      -10.851      -16.849      -28.597      -10.850      -13.170      -14.247      -12.794      -12.899      -8.1718      -11.313      -17.073      -20.632      -24.176      -13.091      -9.2104      -8.0717      -10.856      -12.993      -10.269      -12.194      -13.231      -6.5528      -7.4504    
  2322.000  -.16148          1.00627   13.333      -1.3486      -3.3100      -5.7057      -5.2499      -4.5481      -4.9951      -10.000      -7.5625      -14.694      -17.231      -11.838      -10.907      -13.200      -8.3672      -5.2917      -5.6566      -11.642      -23.953      -12.708      -15.983      -16.173      -29.922      -13.270      -33.120      -6.6034      -8.3122      -9.8625      -12.498      -13.515      -10.068      -14.827      -5.5382      -9.4312      -10.513      -12.595      -21.749      -25.105      -9.9364      -12.512      -14.333      -15.619      -5.3062      -17.616      -12.249      -15.246      -23.734      -24.986      -26.857      -8.0092      -10.862      -16.854      -28.608      -10.859      -13.175      -14.253      -12.796      -12.902      -8.1792      -11.327      -17.095      -20.660      -24.187      -13.099      -9.2159      -8.0793      -10.868      -13.011      -10.273      -12.204      -13.242      -6.5600      -7.4505    
  2321.000  -.17218          1.00706   13.322      -1.3541      -3.3100      -5.7192      -5.2564      -4.5473      -4.9958      -10.004      -7.5651      -14.705      -17.243      -11.845      -10.907      -13.213      -8.3765      -5.2945      -5.6622      -11.653      -23.961      -12.714      -15.989      -16.189      -29.937      -13.282      -33.142      -6.6093      -8.3242      -9.8804      -12.522      -13.535      -10.090      -14.854      -5.5466      -9.4436      -10.530      -12.617      -21.786      -25.148      -9.9422      -12.524      -14.351      -15.624      -5.3074      -17.624      -12.259      -15.260      -23.759      -25.012      -26.889      -8.0138      -10.873      -16.858      -28.618      -10.868      -13.180      -14.259      -12.798      -12.904      -8.1866      -11.342      -17.117      -20.689      -24.198      -13.107      -9.2214      -8.0870      -10.879      -13.029      -10.278      -12.214      -13.252      -6.5672      -7.4506    
