!
! chemical model of an expanding circumstellar envelope with parameters:
! species and initial abundances file : allspec_irc10216.spec                             
! reactions rate constants files =  1 : astrorates_24jan2011.reac                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
! mass loss rate                      =  2.0000E-05 Msun yr-1
! expansion velocity                  =     14.5000 km s-1
! UV ISRF strength                    =   1.000     Draine units
! H2 cosmic ray ionization rate       =  1.2000E-17 s-1
! from                2.0000E+14 to   1.0000E+18 cm
! visual extinction:   82.03     to   1.6405E-02 mag
! .................................................................................................
! Abundances relative to total H nuclei:
!        1                2                3                4               5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36          37          38          39          40          41          42          43          44          45          46          47          48          49          50          51          52          53          54          55          56          57          58          59          60          61          62          63          64          65          66          67          68          69          70          71          72          73          74          75          76          77          78          79          80          81          82          83          84          85          86          87          88          89          90          91          92          93          94          95          96          97          98          99
!  log(time[yr])  log(radius[cm])  log(density[cm-3])  temperature[K]     h           h2          he          c           o           n           s           si          p           ch          ch2         ch3         ch4         c2          c2h         c2h2        c2h3        c2h4        c2h5        c2h6        c3          c-c3h       c3h         c-c3h2      h2c3        c3h2        c3h3        p-c3h4      a-c3h4      c4          c4h         c4h2        n-c4h3      i-c4h3      c5          c5h         c5h2        c6          c6h         c6h2        c7          c7h         c7h2        c8          c8h         c8h2        c9          c9h         c9h2        c10         c10h        c10h2       c11         ch3c4h      ch3c6h      b-c6h6      oh          h2o         o2          ho2         h2o2        co          hco         h2co        ch2oh       ch3o        ch3oh       co2         hcooh       c2o         hcco        ch2co       ch3cho      c2h5oh      ch3och3     hcooch3     c3o         ch3coch3    nh          nh2         nh3         n2          cn          hcn         hnc         h2cn        ch2nh       ch3nh2      c2n         c3n         c4n         c5n         c6n         c7n         c8n         
    -15.000000       14.301030        8.583728              961.44     -50.000000   -0.301030   -1.070581  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000   -5.756962  -50.000000  -50.000000   -4.397940  -50.000000   -8.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000   -3.522879  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000   -6.000000   -4.698970  -50.000000   -5.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000  -50.000000
     -1.735271       14.302984        8.580080              959.06      -9.663756   -0.301030   -1.070581  -12.371729  -13.369299  -13.392372  -11.730173  -11.855612  -19.530743  -16.673941  -13.965535  -12.901066   -5.756962  -15.601702  -14.850587   -4.397940  -16.111624   -8.000000  -17.137901  -16.852017  -12.121543  -19.999292  -15.770130  -15.580615  -12.418265  -12.417788  -15.842679  -16.928129  -18.194471  -20.679215  -18.191519  -14.257882  -18.809391  -18.470403  -20.667775  -18.197301  -14.939655  -28.019755  -19.163720  -15.418585  -25.817028  -25.324827  -18.145364  -29.084049  -26.582429  -19.015293  -26.499805  -28.441959  -25.171869  -34.517752  -32.767429  -26.518014  -39.697064  -17.221726  -23.252478  -15.590489  -14.253060  -11.642199  -23.666000  -32.695797  -32.886449   -3.522879  -17.913461  -18.037109  -25.398129  -27.424669  -21.154191  -15.646190  -24.483861  -19.057754  -16.528020  -14.357545  -20.513600  -27.047597  -37.363637  -42.883242  -21.755558  -36.124615   -9.793978  -10.868392   -6.000076   -4.698970  -15.606785   -5.000000  -12.708781  -18.644254  -18.080833  -19.442527  -22.149369  -21.702504  -27.278718  -28.229442  -39.773139  -33.332331  -45.843276
     -1.427774       14.304999        8.576338              956.62      -9.182911   -0.301030   -1.070581  -12.361755  -13.360519  -13.022406  -11.643042  -11.705650  -19.204977  -16.674869  -13.954149  -12.739608   -5.756962  -15.600127  -14.846273   -4.397940  -15.929655   -8.000000  -17.124062  -16.514418  -11.766656  -19.373390  -15.756837  -15.157078  -12.058129  -12.057650  -15.495398  -16.412000  -17.475850  -20.366597  -18.178726  -13.948246  -18.523462  -18.162710  -19.846998  -17.838645  -14.312857  -27.411770  -18.526289  -14.460260  -24.550340  -24.404779  -17.450339  -28.163943  -25.677444  -18.061775  -25.141020  -27.322568  -23.806151  -32.938086  -31.680630  -25.317469  -38.268181  -16.242713  -22.094083  -14.625355  -14.247084  -11.330658  -23.345893  -32.141993  -32.560733   -3.522879  -17.901847  -17.723151  -24.924926  -27.231257  -20.566826  -15.333070  -23.583776  -18.708439  -16.517969  -14.043342  -19.964335  -26.449107  -35.856120  -41.066473  -20.809947  -34.637592   -9.662041  -10.724694   -6.000104   -4.698970  -15.594524   -5.000000  -12.127616  -18.667896  -17.680138  -18.513498  -21.294418  -21.171624  -26.599443  -27.004259  -37.713616  -32.105649  -43.719565
     -1.266483       14.306788        8.573035              954.46      -8.960714   -0.301030   -1.070581  -12.355635  -13.352760  -12.831098  -11.620764  -11.658065  -19.029633  -16.678211  -13.950662  -12.660020   -5.756962  -15.598728  -14.842442   -4.397940  -15.801098   -8.000000  -17.111900  -16.344000  -11.593615  -19.047481  -15.747855  -14.892333  -11.880649  -11.880169  -15.327579  -16.153243  -17.094163  -20.201102  -18.167491  -13.785100  -18.380936  -18.001343  -19.444997  -17.662244  -13.979883  -27.088228  -18.197513  -13.968089  -23.900041  -23.933614  -17.103591  -27.720605  -25.198527  -17.570533  -24.456792  -26.738359  -23.092702  -32.120963  -31.048278  -24.681735  -37.519685  -15.744856  -21.510463  -14.131457  -14.241805  -11.168484  -23.177205  -31.850782  -32.384641   -3.522879  -17.891476  -17.558952  -24.695772  -27.115132  -20.288024  -15.169500  -23.126666  -18.538365  -16.509085  -13.879363  -19.696439  -26.162539  -35.082672  -40.134510  -20.320676  -33.869825   -9.622473  -10.685670   -6.000114   -4.698970  -15.583487   -5.000000  -11.844628  -18.693152  -17.446100  -18.029413  -20.837245  -20.921161  -26.239607  -26.331284  -36.571302  -31.437694  -42.580770
     -1.139809       14.308731        8.569443              952.11      -8.801354   -0.301030   -1.070581  -12.349273  -13.344316  -12.683171  -11.606973  -11.633449  -18.885151  -16.682114  -13.948472  -12.589496   -5.756962  -15.597198  -14.838276   -4.397940  -15.692757   -8.000000  -17.098698  -16.211919  -11.461729  -18.792756  -15.738447  -14.650838  -11.744172  -11.743690  -15.201218  -15.948556  -16.788312  -20.070200  -18.155358  -13.656394  -18.274376  -17.874679  -19.144358  -17.526663  -13.715533  -26.831493  -17.941786  -13.585614  -23.393809  -23.566934  -16.837259  -27.385158  -24.820868  -17.188191  -23.925954  -26.277385  -22.530301  -31.483609  -30.513880  -24.181263  -36.925364  -15.359346  -21.065837  -13.747911  -14.236060  -11.041576  -23.043476  -31.624699  -32.240930   -3.522879  -17.880082  -17.429864  -24.518827  -26.998446  -20.083375  -15.041069  -22.776412  -18.409402  -16.499411  -13.750634  -19.497884  -25.950884  -34.486205  -39.414661  -19.938928  -33.276494   -9.601202  -10.667408   -6.000120   -4.698970  -15.571752   -5.000000  -11.634365  -18.720276  -17.235952  -17.650841  -20.474755  -20.740330  -25.955752  -25.801865  -35.665020  -30.905664  -41.676735
     -1.047367       14.310406        8.566089              950.09      -8.693000   -0.301030   -1.070581  -12.343576  -13.336424  -12.576286  -11.596257  -11.620573  -18.772903  -16.685982  -13.947026  -12.533439   -5.756962  -15.595764  -14.834392   -4.397940  -15.612503   -8.000000  -17.086389  -16.116176  -11.367243  -18.607863  -15.729963  -14.454336  -11.645617  -11.645134  -15.111973  -15.796291  -16.561050  -19.974136  -18.144122  -13.562031  -18.200445  -17.782323  -18.932975  -17.428706  -13.520732  -26.642831  -17.756939  -13.308805  -23.026910  -23.300461  -16.645496  -27.144370  -24.544673  -16.911244  -23.540778  -25.938957  -22.117955  -31.021203  -30.105183  -23.815733  -36.486074  -15.080892  -20.749502  -13.470339  -14.230692  -10.949200  -22.944819  -31.462413  -32.131724   -3.522879  -17.869341  -17.335454  -24.388623  -26.896551  -19.941749  -14.947268  -22.526358  -18.317642  -16.490365  -13.656611  -19.359766  -25.803777  -34.057931  -38.896949  -19.661740  -32.849957   -9.588195  -10.657924   -6.000125   -4.698970  -15.561162   -5.000000  -11.487866  -18.745126  -17.063442  -17.375667  -20.208948  -20.617367  -25.747281  -25.417402  -35.003074  -30.514720  -41.013286
     -0.954151       14.312694        8.561919              947.34      -8.589969   -0.301030   -1.070581  -12.336799  -13.326602  -12.468959  -11.583536  -11.610487  -18.650310  -16.691067  -13.945574  -12.473914   -5.756962  -15.593974  -14.829573   -4.397941  -15.532030   -8.000000  -17.071112  -16.019999  -11.273243  -18.422729  -15.719790  -14.240201  -11.546841  -11.546357  -15.024692  -15.639343  -16.328306  -19.876856  -18.130303  -13.466400  -18.129875  -17.689312  -18.725896  -17.330398  -13.322516  -26.451692  -17.572686  -13.031932  -22.659588  -23.032320  -16.453945  -26.901932  -24.265996  -16.634130  -23.153763  -25.595461  -21.700153  -30.557886  -29.680845  -23.447213  -36.037142  -14.802743  -20.437640  -13.192614  -14.224012  -10.856255  -22.844108  -31.302077  -32.016957   -3.522879  -17.855861  -17.239976  -24.254521  -26.779351  -19.805006  -14.852545  -22.279437  -18.227145  -16.479101  -13.561649  -19.226001  -25.661351  -33.632621  -38.382114  -19.383582  -32.426040   -9.575090  -10.649520   -6.000129   -4.698970  -15.548512   -5.000000  -11.346017  -18.775222  -16.871755  -17.099391  -19.940392  -20.500561  -25.534714  -25.032479  -34.337302  -30.118966  -40.342402
     -0.896713       14.314213        8.558879              945.52      -8.529374   -0.301030   -1.070581  -12.332058  -13.319435  -12.402798  -11.574345  -11.605329  -18.567872  -16.694952  -13.944638  -12.436159   -5.756962  -15.592665  -14.826067   -4.397941  -15.483088   -7.999999  -17.059994  -15.960858  -11.215890  -18.309584  -15.712615  -14.101454  -11.486196  -11.485711  -14.972401  -15.540701  -16.183182  -19.816759  -18.120346  -13.407184  -18.088688  -17.632088  -18.600902  -17.269932  -13.199455  -26.333604  -17.460615  -12.862656  -22.434922  -22.867325  -16.336696  -26.751275  -24.094400  -16.464710  -22.915935  -25.382544  -21.441630  -30.274302  -29.415097  -23.220347  -35.757189  -14.632845  -20.249053  -13.022726  -14.219140  -10.799090  -22.781291  -31.205369  -31.943611   -3.522879  -17.845956  -17.180959  -24.169797  -26.700178  -19.723431  -14.794082  -22.130065  -18.172453  -16.470879  -13.503025  -19.146060  -25.576264  -33.374006  -38.068764  -19.212975  -32.168149   -9.566300  -10.644242   -6.000132   -4.698970  -15.539631   -5.000000  -11.261436  -18.796486  -16.745027  -16.929910  -19.774911  -20.431761  -25.401726  -24.797085  -33.928729  -29.874573  -39.928695
     -0.836180       14.316337        8.555222              942.98      -8.467761   -0.301030   -1.070581  -12.326563  -13.310809  -12.332831  -11.563301  -11.600646  -18.472962  -16.699807  -13.943593  -12.395775   -5.756962  -15.591086  -14.821857   -4.397941  -15.432280   -7.999999  -17.046644  -15.898594  -11.155872  -18.191393  -15.704238  -13.950746  -11.422420  -11.421934  -14.918660  -15.435048  -16.028959  -19.753358  -18.108514  -13.344497  -18.047408  -17.571877  -18.470977  -17.206223  -13.069021  -26.209040  -17.344110  -12.685569  -22.199898  -22.693682  -16.213699  -26.590363  -23.913866  -16.287529  -22.665886  -25.157089  -21.168290  -29.977459  -29.132923  -22.981606  -35.459285  -14.455225  -20.053258  -12.844883  -14.213275  -10.738938  -22.714338  -31.105519  -31.864010   -3.522879  -17.833960  -17.118573  -24.078307  -26.611333  -19.639335  -14.732364  -21.975024  -18.115766  -16.460978  -13.441125  -19.063568  -25.488501  -33.104422  -37.741927  -19.033954  -31.899248   -9.556024  -10.638233   -6.000136   -4.698970  -15.529299   -5.000000  -11.174503  -18.821150  -16.605005  -16.752072  -19.600731  -20.361451  -25.259038  -24.550817  -33.499906  -29.616746  -39.492675
     -0.775067       14.318451        8.550995              940.46      -8.407814   -0.301030   -1.070581  -12.320473  -13.300826  -12.261732  -11.550516  -11.596723  -18.365879  -16.705649  -13.942454  -12.354634   -5.756962  -15.589254  -14.816998   -4.397941  -15.381985   -7.999999  -17.031240  -15.835764  -11.095682  -18.073489  -15.694869  -13.795035  -11.358149  -11.357662  -14.865983  -15.326567  -15.872112  -19.689364  -18.095046  -13.280875  -18.008159  -17.511219  -18.341385  -17.141868  -12.936624  -26.083339  -17.228622  -12.508397  -21.964870  -22.518766  -16.090066  -26.424791  -23.732163  -16.110388  -22.414200  -24.928437  -20.891479  -29.680392  -28.847132  -22.741133  -35.155595  -14.277638  -19.858669  -12.666793  -14.206490  -10.678314  -22.645837  -31.007193  -31.781233   -3.522879  -17.819989  -17.055354  -23.983235  -26.516384  -19.556019  -14.669925  -21.821020  -18.059606  -16.449515  -13.378483  -18.981788  -25.401544  -32.835420  -37.415656  -18.854173  -31.630886   -9.544283  -10.631457   -6.000141   -4.698970  -15.517785   -5.000001  -11.088899  -18.848195  -16.457770  -16.573507  -19.425331  -20.292343  -25.111306  -24.304427  -33.069293  -29.356362  -39.052825
