100   ! Number of radial points 
!                                                                                                                                                                                                               1  
!   r(cm)          n(H2)[cm-3]    Tk(K)          delv[km/s]     Vexp[km/s]     Tdust(K)       gas:dust                 x(He)             x(e-)             x(H)              x(H+)           SO
    0.25000E+14    0.33805E+11    0.22000E+04    0.50000E+01    0.50000E+01    0.16673E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.27101E+14    0.28766E+11    0.20960E+04    0.46123E+01    0.50000E+01    0.16143E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.29379E+14    0.24478E+11    0.19969E+04    0.42547E+01    0.50000E+01    0.15630E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.31849E+14    0.20829E+11    0.19025E+04    0.39248E+01    0.50000E+01    0.15134E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.34526E+14    0.17724E+11    0.18126E+04    0.36205E+01    0.50000E+01    0.14653E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.37428E+14    0.15082E+11    0.17269E+04    0.33397E+01    0.50000E+01    0.14188E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.40574E+14    0.12834E+11    0.16453E+04    0.30808E+01    0.50000E+01    0.13737E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.43984E+14    0.10921E+11    0.15675E+04    0.28419E+01    0.50000E+01    0.13300E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.47682E+14    0.92931E+10    0.14934E+04    0.26216E+01    0.50000E+01    0.12878E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.51689E+14    0.79078E+10    0.14228E+04    0.24183E+01    0.50000E+01    0.12469E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.56034E+14    0.67290E+10    0.13555E+04    0.22308E+01    0.50000E+01    0.12073E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
    0.60744E+14    0.57260E+10    0.12915E+04    0.20578E+01    0.50000E+01    0.11689E+04    0.76923E+04              0.170000          1.000000E-20      1.000000E-20      1.000000E-20    0.10000E-05
